                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4507,                 5.6242,                 2.1034,                      0,                      0,                      0,                      0,                 2.4912,                 6.7043,                 2.3914,                      0,                      0,                      0
                      1,                 2.0929,                 6.8617,                 1.8068,                      0,                      0,                      0,                      0,                  2.273,                  5.948,                 2.2679,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      2,                 2.2811,                 5.2035,                 1.9415,                      0,                      0,                      0,                      0,                 1.9676,                 4.8464,                  2.106,              3.268e-05,              3.268e-05,              3.268e-05
                      3,                 1.9412,                 4.3737,                 1.5655,                0.13333,                      1,                0.33167,                0.19398,                 1.5595,                 3.4579,                 1.7079,             4.8525e-05,             4.8525e-05,             4.8525e-05
                      4,                 1.7481,                 3.5009,                 1.5678,                0.66093,                      1,                0.66333,                0.42355,                 1.3461,                 2.3525,                 1.6578,             6.4039e-05,             6.4039e-05,             6.4039e-05
                      5,                  1.804,                 2.2232,                 1.4403,                0.98527,                      1,                  0.995,                0.66317,                 1.2516,                 2.6273,                 1.5456,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      6,                  1.704,                 1.4194,                 1.4926,                0.90755,                      1,                  0.995,                0.51727,                 1.3982,                 4.0391,                 1.6166,             9.4079e-05,             9.4079e-05,             9.4079e-05
                      7,                 1.3366,                 1.6037,                 1.1478,                  0.646,                      1,                0.82833,                0.32855,                 1.5894,                 3.2476,                 1.4966,              0.0001086,              0.0001086,              0.0001086
                      8,                 1.6546,                 1.7181,                 1.3402,                0.36388,                      1,                 0.4475,                 0.1691,                 1.4612,                 3.7572,                 1.3458,              0.0001228,              0.0001228,              0.0001228
                      9,                 1.5374,                 1.6408,                 1.3758,                0.46959,                0.90877,                 0.4975,                0.26533,                 1.2255,                 3.6101,                 1.1683,             0.00013666,             0.00013666,             0.00013666
                     10,                 1.6662,                 1.8002,                  1.422,                0.97149,                      1,                  0.995,                  0.796,                 1.0579,                 2.3187,                 1.0549,              0.0001502,              0.0001502,              0.0001502
                     11,                 1.6253,                 1.2187,                 1.1992,                0.93528,                      1,                  0.995,                0.79674,                0.92942,                 1.9252,                 1.1945,              0.0001634,              0.0001634,              0.0001634
                     12,                 1.7026,                 1.3518,                 1.2166,                0.89331,                      1,                  0.995,                0.74711,                0.88413,                 2.0853,                 1.3048,             0.00017628,             0.00017628,             0.00017628
                     13,                 1.4027,                 1.0314,                 1.1601,                0.95453,                      1,                  0.995,                0.74759,                0.90632,                 1.7892,                 1.3788,             0.00018882,             0.00018882,             0.00018882
